affinity,F,A,M
ca,0.730982,8.69,0.01
ca,0.800822,7.14,0.03
ca,1.5,6.54,0.06
ca,1.35,7.38,0.06
ca,1.38,6.35,0.08
ca,2.13,9.54,0.08
ca,1.33,7.28,0.09
ca,1.6,6.97,0.1
ca,1.4,6.46,0.11
ca,1.55,6.52,0.11
ca,1.59,6.51,0.13
ca,1.39,5.79,0.15
ca,1.13,6.38,0.15
ca,3,7.24,0.16
ca,1.66,5.88,0.18
ca,1.53,6.03,0.19
ca,2,8.5,0.2
ca,1.6,6.56,0.2
ca,3.45,6.89,0.2
ca,1.8,6.76,0.22
ca,2.29,6.39,0.23
ca,1.223728,8.29,0.23
ca,1.69,5.29,0.24
ca,1.77,6.86,0.24
ca,1.277716,8.04,0.24
ca,1.421684,8.1,0.25
ca,1.47,6.91,0.25
ca,1.8,6.2,0.26
ca,1.59,6.44,0.27
ca,2.59,6.53,0.27
ca,1.313708,7.96,0.27
ca,1.55,6.09,0.28
ca,1.025932,7.5,0.28
ca,1.38,5.55,0.29
ca,2.04,6.77,0.29
ca,1.8,6.72,0.29
ca,1.65,7.46,0.3
ca,1.98,6.77,0.31
ca,1.19,6.97,0.31
ca,2.33,6.07,0.32
ca,1.52966,7.76,0.32
ca,1.9,6.97,0.35
ca,1.25,6.98,0.35
ca,1.36,6.97,0.35
ca,1.84459,8.22,0.38
ca,2.18,6.91,0.4
ca,2.47445,7.91,0.4
ca,2.6,6.42,0.41
ca,1.763608,8.08,0.41
ca,1.42,6.89,0.42
ca,1.46,6.44,0.43
ca,2.73,7.37,0.44
ca,3.12,6.82,0.44
ca,2.213508,7.53,0.44
ca,1.82,7.35,0.44
ca,1.63,6.52,0.45
ca,2.26,7.89,0.47
ca,2.4,6.49,0.49
ca,2.24,6.8,0.49
ca,1.196734,6.27,0.49
ca,2.132526,7.69,0.49
ca,2,3.27,0.5
ca,2.06,3.24,0.5
ca,1.64,6.72,0.51
ca,2.43,6.93,0.52
ca,1.79,6.24,0.53
ca,2.05,5.16,0.54
ca,2.41,6.72,0.54
ca,2.63,6.03,0.54
ca,1.7,6.31,0.54
ca,1.78,6.25,0.54
ca,2.118858,8.1,0.54
ca,2.168518,7.7,0.56
ca,2.51,7.12,0.56
ca,2.29,7.36,0.57
ca,1.547656,7.33,0.57
ca,2.240502,7.92,0.57
ca,2.17,6.19,0.58
ca,2.138858,8.14,0.58
ca,2.33,3.06,0.58
ca,2.35,6.05,0.61
ca,2.762386,6.81,0.61
ca,2.20451,7.84,0.62
ca,2.213508,7.51,0.62
ca,2.283848,7.76,0.63
ca,3.28,6.74,0.64
ca,3.03,6.19,0.66
ca,2.54,6.35,0.68
ca,2.780382,7.25,0.68
ca,2.41,4.49,0.69
ca,2.438838,8.03,0.7
ca,1.781604,7.47,0.7
ca,2.88481,7.97,0.71
ca,2.42946,7.38,0.71
ca,2.393468,7.61,0.71
ca,2.86,7.45,0.73
ca,2.68,5.91,0.76
ca,2.418838,7.91,0.76
ca,2.467836,7.89,0.76
ca,2.465452,7.46,0.77
ca,2.447456,7.54,0.77
ca,2.670822,7.67,0.78
ca,2.55483,7.68,0.78
ca,3.446234,5.54,0.78
ca,2.525832,7.83,0.79
ca,2.645412,7.2,0.79
ca,5.4,5.8,0.8
ca,2.54483,7.45,0.8
ca,2.525832,7.89,0.83
ca,3.44,6.01,0.84
ca,3.1493,6.54,0.85
ca,1.95,7.33,0.87
ca,2.602726,6.93,0.87
ca,1.99,7.07,0.88
ca,3.73,6.45,0.89
ca,3.11,5.61,0.89
ca,3.19,6.43,0.89
ca,3.43984,3.79,0.89
ca,5.21884,13.1,0.9
ca,3.115792,7.27,0.9
ca,2.951344,7.83,0.9
ca,3.49,6.28,0.91
ca,2.690402,7.13,0.96
ca,2.16,5.71,0.99
ca,3.67,6.62,0.99
ca,2.19,7.29,1
ca,3.1,7.49,1.01
ca,3.356254,6.55,1.02
ca,3.050322,7.16,1.02
ca,3.04,6.02,1.04
ca,3.095312,6.97,1.04
ca,2.96934,7.34,1.09
ca,3.266274,6.95,1.1
ca,2.63,7.49,1.11
ca,3.653188,7.47,1.11
ca,3.356254,6.88,1.12
ca,3.095312,6.35,1.13
