,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO
N1,82.54,6.14,3.18,1.65,2.24,1.16,1.35,0.44,0.11,0.06
N2,83.60,6.42,2.55,1.25,1.83,1.21,1.48,0.36,0.08,0.04
N3,79.07,7.26,4.39,1.95,2.54,1.23,1.42,0.63,0.09,0.08
N4,89.02,5.27,1.09,0.33,0.48,0.90,1.61,0.17,0.04,0.02
N5,88.46,5.36,1.39,0.29,0.52,0.84,1.64,0.27,0.03,0.02
N6,83.61,6.83,2.19,0.87,1.45,1.15,1.87,0.32,0.05,0.03
N7,85.37,6.10,2.10,0.86,1.29,1.05,1.63,0.29,0.06,0.03
N8,65.16,6.74,15.67,2.22,3.08,0.78,1.11,3.46,0.04,0.24
N9,78.19,7.19,6.90,0.72,1.35,1.11,1.90,1.47,0.02,0.11
N10,80.65,7.86,3.16,1.09,1.64,1.39,2.42,0.54,0.04,0.06
N11,82.27,6.55,3.53,1.48,2.02,1.15,1.61,0.52,0.06,0.07
N12,74.30,7.72,3.42,2.35,5.46,1.48,1.76,0.49,0.11,0.06
T8,85.70,5.89,1.82,0.81,1.44,1.12,1.67,0.23,0.07,0.03
T13,82.54,6.02,2.30,1.42,3.07,1.19,1.46,0.34,0.11,0.04
N13,79.96,6.41,3.19,1.31,2.10,1.09,1.62,0.51,0.06,0.05
N14,73.62,9.96,4.07,2.01,3.45,1.86,2.29,0.44,0.10,0.07
