40K,224Ra,228Ra,236U,137Cs,Natural,Total
13.7,41.9,24.4,0.1,2.8,80.2,83
14,52.6,48.4,0.4,3.3,115.4,118.7
12.3,40.6,27.7,0.2,1.6,80.8,82.3
13.2,45.9,29.6,0.4,2.5,89.2,91.6
11.3,40.6,21.6,0.1,1.6,73.6,75.2
15.8,20,8.9,0.1,6,44.8,50.8
14.3,45.3,25.4,0.2,1.1,85.2,86.3
15.5,50.6,28.2,0.2,1.7,94.5,96.2
13.3,59.2,30.6,0.2,1.8,103.3,105.1
12.6,37.9,41.8,0.2,2.4,92.6,94.9
11.7,28.6,34.3,0.2,5,74.9,79.9
12.2,30.6,57.3,0.2,9.3,100.4,109.7
16.2,53.2,36.2,0.2,2,105.9,107.9
14.3,32.6,61.6,0.3,6.6,108.7,115.4
15.5,16,8.5,0.1,0.7,40,40.6
11.2,35.9,35.7,0.2,5.3,83,88.3
11.7,39.9,42.8,0.2,11.7,94.6,106.3
12.9,12.6,8,0.2,2.4,33.7,36
15.9,21.3,11.3,0.1,3.9,48.6,52.5
12.5,24,14.6,0.1,2,51.1,53.1
18.7,20,9.4,0.1,16.9,48.2,65.1
15,13.3,7.5,0,2.5,35.9,38.3
18.3,38.6,62.5,0.5,8.2,119.9,128.1
14.5,37.9,33.8,0.2,8.9,86.5,95.4
20.5,17.3,8.9,0.1,6.2,46.9,53.1
11.8,41.3,55.9,0.4,11.8,109.5,121.3
22.4,24.6,13.2,0.3,6.9,60.5,67.3
12.1,35.3,87,0.8,17.2,135.1,152.3
8.8,25.3,53.6,0.6,14.7,88.3,103
12.9,31.9,55.5,0.5,15,100.9,115.8
13.2,21.3,40,0.4,7.7,74.9,82.5
13.3,32.6,93.1,0.7,7.5,139.7,147.2
14,39.3,63.9,0.5,8.2,117.8,126
19.8,55.2,27.3,0.2,1.4,102.5,103.8
12.5,31.9,82.3,0.3,12.6,127,139.6
5.2,8,23.5,0.2,5.4,36.9,42.3
17.7,45.9,24,0.1,1.8,87.7,89.5
17.5,40.6,32,0.4,3.3,90.5,93.7
