name,state,discovery date,ultimate production
Greasewood,COLO,1930,1066000
Golden Prairie,WYO,1937,2332000
Horse Creek,"COLO,WYO",1942,8060000
Borie,WYO,1949,3130000
Gurley,NEB,1949,2223500
Armstrong,COLO,1950,300000
Buckingham,COLO,1950,515000
Dorman,NEB,1950,4943200
Huntsman,NEB,1950,5030300
Lee,COLO,1950,63417
Loveland,COLO,1950,300000
McLernon,NEB,1950,896000
Merino,COLO,1950,4307000
Mount Hope,COLO,1950,7030000
Walker,"COLO,NEB",1950,2020000
Yenter,COLO,1950,10365000
Arford,COLO,1951,3492
Atwood,COLO,1951,532000
Brownson E.,NEB,1951,274300
Dalton,NEB,1951,292470
Goodrich,COLO,1951,5436
Graylin Northwest,COLO,1951,13365000
Harrisburg,"COLO,NEB",1951,6556700
Johnson,NEB,1951,4259900
Keota,COLO,1951,1265000
Little Beaver,COLO,1951,17345000
Logan,COLO,1951,220000
McCourt,NEB,1951,69673
Messex,COLO,1951,605000
Noonen Ranch,COLO,1951,566000
Padroni,COLO,1951,136500
Pawnee Ck.,COLO,1951,2250000
Potter S.W.,NEB,1951,5690600
Reimers,NEB,1951,3283000
Sidney N.,NEB,1951,1414000
Sisson,NEB,1951,817710
Springdale,COLO,1951,19986
Torgeson,NEB,1951,4763000
Willard,COLO,1951,150200
Abbott,COLO,1952,423000
Beyer,NEB,1952,300740
Cook,NEB,1952,5058900
Dale,"COLO,WYO",1952,805690
Divide,COLO,1952,590000
Dix South,NEB,1952,103170
Duff,NEB,1952,52914
Enders,NEB,1952,9166300
Fleming,"COLO,NEB",1952,1207000
Frenchman Ck.,COLO,1952,107
Goodwin,NEB,1952,901100
Hart,NEB,1952,986970
Kugler,NEB,1952,1300000
Luft,COLO,1952,2805000
Messer,COLO,1952,3639
Middlemist,COLO,1952,2170000
Mount Hope North,COLO,1952,850000
Padroni West,COLO,1952,4265000
Peetz Northwest,COLO,1952,90000
Peetz West,COLO,1952,1678000
Preble,NEB,1952,3176500
Roh,NEB,1952,175580
Rush Willadel,COLO,1952,6200000
Schrack,NEB,1952,361020
Springdale South,COLO,1952,760000
Stoneham,COLO,1952,4645
Stoneham S.,COLO,1952,275000
Tracy,WYO,1952,128000
Woodrow East,COLO,1952,123500
Adena,COLO,1953,62550000
Adobe,COLO,1953,22799
Allely,NEB,1953,763490
Badger Creek,COLO,1953,6434000
Badger Creek W.,COLO,1953,550000
Battle Canyon,COLO,1953,1000000
Big Sandy,COLO,1953,970000
Black Hollow,COLO,1953,10510000
Bonham,COLO,1953,271010
Doran,NEB,1953,4987000
Empire,COLO,1953,3240
Engelland,NEB,1953,836890
Engelland W.,NEB,1953,436760
Franzen,NEB,1953,1196100
Gary,COLO,1953,17119
Johnson Hill,COLO,1953,106
Johnson Hill North,COLO,1953,1858000
Kaufman,NEB,1953,110680
Kimball,NEB,1953,6761200
Krueger,NEB,1953,1206600
Lewis Creek,COLO,1953,5440000
Liberty South,COLO,1953,134870
Liberty West,COLO,1953,950000
Little Hoot,COLO,1953,675000
Long South,COLO,1953,153380
Marcum,NEB,1953,2359
Masters,COLO,1953,370500
McMillen,NEB,1953,28782
McRae,COLO,1953,1415000
Merino Northeast,COLO,1953,91257
Minto,COLO,1953,2270000
Mountain View E.,COLO,1953,50000
Owasco,NEB,1953,684630
Rago,COLO,1953,365000
Raymer Ck.,COLO,1953,209210
Roggen,COLO,1953,2795000
Schnell,NEB,1953,203000
Thompson,NEB,1953,16911
Woodrow West,COLO,1953,594000
Adena South,COLO,1954,584760
Atwood East,COLO,1954,2500000
Big Beaver,COLO,1954,12830000
Bobcat,"COLO,NEB",1954,7330000
Boot Hill,COLO,1954,102970
Buffalo,"COLO,NEB",1954,905720
Cedar Creek,COLO,1954,1100000
Chambers,NEB,1954,556050
Chaney,NEB,1954,544240
Cottonwood,COLO,1954,91000
Dale North,"COLO,WYO",1954,201920
Dietz,NEB,1954,707660
Dimick,NEB,1954,362510
Draw,NEB,1954,564200
Dune Ridge,COLO,1954,1750000
Frasco,COLO,1954,1410000
Ft. Morgan,COLO,1954,160840
Gary North,COLO,1954,307030
Gary West,COLO,1954,45968
Greasewood S.,COLO,1954,215000
Hafeman,NEB,1954,666000
Hinge,COLO,1954,210000
Hoffman,NEB,1954,560160
Horsetail,COLO,1954,257560
Houtby,NEB,1954,3276500
Ittner,NEB,1954,1835200
Jackson,COLO,1954,86697
Johnson Hill East,COLO,1954,42074
Kenmac,NEB,1954,3825000
Kenton,NEB,1954,234040
Knox,COLO,1954,46562
Leader,COLO,1954,158230
Leader East,COLO,1954,618
Leonard,NEB,1954,362580
Liberty,"COLO,NEB",1954,1026000
Little Beaver East,COLO,1954,4300000
Long,NEB,1954,5850700
Maley,NEB,1954,2069500
Minto North,COLO,1954,467000
Mohatt,NEB,1954,399080
Mount Hope East,COLO,1954,2575000
OConnell,NEB,1954,313630
Park,COLO,1954,1175000
Pawnee Hills,COLO,1954,24860
Pelster,NEB,1954,570840
Plum Bush Creek,COLO,1954,20000000
Rago North,COLO,1954,2650000
Rohlfing,NEB,1954,425960
Rosener,COLO,1954,323390
Rush Creek,"COLO,NEB",1954,425080
Sand River,COLO,1954,4006000
Schmid,NEB,1954,129990
Sidney S.W.,NEB,1954,3630100
Sloss,NEB,1954,17032000
Spurgin,COLO,1954,14824
Stony Point,COLO,1954,10006
Swearingen,NEB,1954,1759200
Voss,NEB,1954,448050
Vrtatko,NEB,1954,987250
Westplains,COLO,1954,300000
White Butte,COLO,1954,147000
Windy Hill,COLO,1954,540000
