Year,Month,Day,Longitude,Latitude,Depth,Hour,Minute,Second,Mw_unified,Relation
1900,2,24,44.87,38.45,,,,,5.6,Ms-Mw
1900,7,12,43.1,40.28,,,,,5.9,Ms-Mw
1901,4,3,44.3,40,15,0,57,,4.7,Ms-Mw
1901,5,20,50.48,36.39,,12,29,,5.6,Ms-Mw
1902,7,9,56.34,27.08,,3,38,,6.2,Ms-Mw
1902,9,5,48,39.5,20,4,33,,5.2,Ms-Mw
1902,10,26,47.8,39.7,14,11,37,,5.2,Ms-Mw
1903,1,2,54.9,36.5,25,0,7,15,5.4,Ms-Mw
1903,2,9,47.65,36.58,,5,18,,5.7,Ms-Mw
1903,3,22,59.71,33.16,,14,35,,6.1,Ms-Mw
1903,6,24,48.96,37.48,,16,56,,6,Ms-Mw
1903,9,25,58.23,35.18,,1,20,,5.9,Ms-Mw
1904,3,20,59.4,36.6,11,9,59,50,5.7,Ms-Mw
1904,7,16,47.8,39.4,15,12,1,,4.9,Ms-Mw
1904,11,9,59.77,36.94,,3,28,,6.3,Ms-Mw
1905,1,9,48.68,37,,6,17,,6,Ms-Mw
1905,4,25,56.03,27.67,,14,1,,5.9,Ms-Mw
1905,6,19,59.98,29.89,,1,27,,6,Ms-Mw
1905,10,16,43.1,40.6,33,3,0,,5.3,Ms-Mw
1906,3,20,49,38.9,15,23,45,,4.9,Ms-Mw
1906,9,28,43.1,40.6,9,7,30,50,5.1,Ms-Mw
1907,3,31,50,30,,14,12,,6,Ms-Mw
1907,4,12,45.4,39.2,20,2,1,10,4.9,Ms-Mw
1907,4,17,57.85,37.74,,8,36,,5.9,Ms-Mw
1907,12,23,46,38.7,21,14,25,,4.9,Ms-Mw
1908,9,28,44,38,,6,28,,6,Ms-Mw
1909,1,23,49.1,33.4,35,2,48,18,7.4,
1909,1,26,45.5,39.1,33,22,56,,5.3,Ms-Mw
1909,10,27,57.58,30.09,,18,45,,5.7,Ms-Mw
1909,12,30,46.3,38.9,15,15,15,,4.8,Ms-Mw
1910,1,25,44.5,40.2,33,1,54,,5.3,Ms-Mw
1910,3,8,44.5,40.8,33,2,25,,5.3,Ms-Mw
1910,12,4,48.8,38.8,33,14,2,,5.4,Ms-Mw
1911,4,18,57,31.2,50,18,14,36,6.1,
1911,4,29,57.58,30.36,,5,33,,5.7,Ms-Mw
1911,9,13,54.44,27.67,,3,22,,5.7,Ms-Mw
1912,2,24,59.5,37,10,14,36,38,5.7,Ms-Mw
