point,lat,lon,elev,thickness
P01,35.9512144894444,100.298463618333,3098.915,32
P02,35.9511327547222,100.298424452778,3097.13,12
P03,35.9510667213889,100.298368385833,3095.664,4
P04,35.9510465675,100.298483774444,3096.331,12
P05,35.9510106447222,100.298558736944,3096.395,16
P06,35.9509804486111,100.298635115556,3096.659,26
P07,35.9509211083333,100.298570955556,3095.281,10
P08,35.9509326427778,100.298674715278,3096.202,17
P09,35.9509760994444,100.298854553611,3098.406,42
P010,35.9508490925,100.2986265925,3094.911,11
P011,35.9507696161111,100.298670915278,3094.542,6
P012,35.9507249830556,100.298771854722,3094.635,13
P013,35.9506692055556,100.298884552222,3094.757,19
P014,35.9505680027778,100.298863348056,3094.135,5
P015,35.9506165122222,100.298945989444,3094.69,23
P016,35.9505664183333,100.299061604444,3094.914,37
P017,35.9505401841667,100.299115734444,3095.01,37
P018,35.9504655533333,100.298998365556,3094.211,9
P019,35.950412175,100.299103008333,3094.263,14
P020,35.9503105319444,100.299225141944,3094.27,18
P021,35.9501981397222,100.299373273611,3094.195,21
P022,35.9500732183333,100.299527314167,3094.183,19
P023,35.9499690211111,100.299661226944,3094.534,22
P024,35.9498472875,100.299818123056,3094.897,11
P025,35.9496918413889,100.300013133889,3095.741,12
P026,35.9495706877778,100.300097189167,3096.269,14
P027,35.9494264447222,100.30023051,3096.549,3
P028,35.9494610986111,100.300381095556,3097.529,6
P029,35.9493622436111,100.300548035556,3097.534,3
P030,35.9496045683333,100.300287480278,3097.037,12
P031,35.94975221,100.300158337222,3095.935,12
P032,35.9498967255556,100.300007977222,3095.071,9
P033,35.95006475,100.299845092222,3094.902,18
P034,35.9502347188889,100.299646695556,3095.247,25
P035,35.9503952841667,100.299470113611,3095.956,25
P036,35.9506128683333,100.299216856944,3096.558,26
P037,35.9507557836111,100.299345263889,3098.502,6
P038,35.9506214061111,100.299456255833,3098.485,8
P039,35.950521845,100.299631666667,3097.786,7
P040,35.9504035558333,100.299767239167,3097.036,10
P041,35.9502756563889,100.299915329444,3096.389,9
P042,35.9501027247222,100.300073644444,3096.116,11
P043,35.9499954511111,100.300258531111,3096.576,11
P044,35.9498480472222,100.300405259722,3097.089,0
P045,35.9495038794444,100.300013914167,3095.425,7
P046,35.949442695,100.299917251111,3094.266,0
P047,35.9495227827778,100.299926611111,3094.904,0
P048,35.9495430358333,100.299885419444,3094.718,0
P049,35.9496673583333,100.299841970833,3095.107,8
P050,35.9496520536111,100.299762258333,3094.618,0
P051,35.9497751986111,100.2997356075,3095.069,6
P052,35.9497723616667,100.299683177778,3094.848,0
P053,35.9498897466667,100.2996123725,3094.66,12
P054,35.950026645,100.299394530278,3093.97,0
P055,35.9500604469444,100.299415197778,3094.049,6
P056,35.9501892269444,100.299256673611,3093.995,6
P057,35.9502124,100.299161883889,3093.892,0
P058,35.9503923763889,100.299002105278,3094.064,0
P059,35.9507245133333,100.299094935833,3096.742,25
P060,35.9508546530556,100.299227792222,3097.939,12
P061,35.9509776241667,100.299078614722,3097.9,19
P062,35.9511021775,100.298914246389,3098.77,33
P063,35.9512706413889,100.298717174722,3099.687,40
P064,35.9514051347222,100.298692266667,3098.672,26
P065,35.9515092686111,100.298672453611,3097.067,37
P066,35.95146926,100.298754405278,3096.739,46
P067,35.9515349030556,100.298865162778,3094.889,0
P068,35.9513952077778,100.298980907778,3094.946,0
P069,35.9513153272222,100.298864743889,3096.891,16
P070,35.9512758591667,100.298946967222,3096.213,7
P071,35.9511508719444,100.298992344167,3097.401,17
P072,35.9510747852778,100.299091148889,3097.077,8
P073,35.9511466141667,100.2991775775,3095.456,9
P074,35.9512215961111,100.2992290925,3094.923,0
P075,35.9509681994444,100.299429888611,3095.731,0
P076,35.9509695219444,100.299308421944,3096.67,8
P077,35.9508294880556,100.299386925,3097.945,0
P078,35.9507172877778,100.299580253056,3096.958,11
P079,35.9505888244444,100.299684103889,3097.006,16
P080,35.9506158988889,100.299878896389,3095.513,0
P081,35.9504363605556,100.299856343889,3096.452,8
P082,35.9503288116667,100.299986285278,3096.068,9
P083,35.9502751963889,100.300213290278,3095.353,6
P084,35.9502959413889,100.300259271944,3095.358,0
P085,35.9500956438889,100.300257130278,3096.004,11
P086,35.9500408855556,100.300385598611,3095.794,8
P087,35.9500225466667,100.300559764722,3095.537,0
P088,35.9512204072222,100.298470603889,3098.99,37
P089,35.9506,100.299284444444,3098.99,36
