start, end
0.000, 0.780
0.990, 1.070
1.770, 1.950
2.140, 2.150
2.581, 3.040
3.110, 3.220
3.330, 3.580
4.180, 4.290
4.480, 4.620
4.800, 4.890
4.980, 5.230
5.894, 6.137
6.269, 6.567
6.935, 7.091
7.135, 7.170
7.341, 7.375
7.432, 7.562
7.650, 8.072
8.225, 8.257
8.699, 9.025
9.230, 9.308
9.580, 9.642
9.740, 9.880
9.920, 10.949
11.052, 11.099
11.476, 11.531
11.935, 12.078
12.184, 12.401
12.678, 12.708
12.775, 12.819
12.991, 13.139
13.302, 13.510
13.703, 14.076
14.178, 14.612
14.800, 14.888
15.034, 15.155
16.014, 16.293
16.327, 16.488
16.556, 16.726
17.277, 17.615
18.281, 18.781
19.048, 20.131
20.518, 20.725
20.996, 21.320
21.768, 21.859
22.151, 22.248
22.459, 22.493
22.588, 22.750
22.804, 23.069
23.353, 23.535
23.677, 23.800
23.999, 24.118
24.730, 24.781
24.835, 25.183
25.496, 25.648
25.823, 25.951
25.992, 26.554
27.027, 27.972
28.283, 28.512
28.578, 28.745
29.401, 29.662
29.765, 30.098
30.479, 30.939
33.058, 33.545
34.655, 34.940
35.343, 35.526
35.685, 36.341
36.618, 37.473
37.604, 37.848
37.920, 38.113
38.426, 39.552
39.631, 40.130
41.257, 41.521
42.536, 43.789
46.264, 47.906
49.037, 49.714
50.778, 50.946
51.047, 51.743
52.364, 52.663
52.757, 52.801
52.903, 53.347
55.904, 56.391
57.554, 57.911
60.920, 61.276
62.499, 63.634
63.976, 64.745
65.578, 67.610
67.735, 68.737
71.071, 71.338
71.587, 73.004
73.291, 73.374
73.619, 79.075
83.000, 118.000
