Hylak_id,Lake_name,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
"10",Ladoga,Russia,Europe,MODIS,"1","0",17444.01,1795.84,3.84,837000.00,0.00,"1",48.0,2527.206,3833.3,"-10",-1.00,279581.2,31.032851,59.952780
"1084",Kianta,Finland,Europe,ECRINS,"1","0",189.72,425.45,8.71,2871.96,0.00,"3",15.1,33.411,994.9,"181",2.39,3088.8,28.896875,64.891422
"1089",Oulu,Finland,Europe,Other,"3","3723",889.77,715.46,6.77,6228.42,2343.00,"1",7.0,227.993,316.2,"106",-1.00,20744.5,26.823958,64.539583
"1093",Ontojarvi,Finland,Europe,ECRINS,"1","0",111.98,252.72,6.74,1783.00,0.00,"3",15.9,61.778,334.0,"141",2.83,5277.0,28.987038,64.099796
"1106",,Finland,Europe,Other,"1","0",201.56,569.80,11.32,3850.84,0.00,"3",19.1,50.561,881.5,"70",2.89,5323.3,27.219727,63.231409
"1113",Pielinen,Finland,Europe,Other,"3","4354",937.09,1157.57,10.67,9277.21,2000.00,"1",9.9,149.492,718.3,"79",-1.00,13902.3,30.177300,62.803703
"1114",Virmasvesi,Finland,Europe,Other,"1","0",277.06,556.57,9.43,3840.45,0.00,"3",13.9,35.732,1244.0,"87",2.03,3774.1,26.548958,62.757872
"1116",Minijarvi,Finland,Europe,ECRINS,"1","0",138.86,217.90,5.22,2157.29,0.00,"3",15.5,21.478,1162.5,"64",2.63,1860.0,29.244792,62.652963
"1117",Keitele,Finland,Europe,Other,"1","0",640.85,1183.41,13.19,3428.88,0.00,"1",5.4,110.001,360.8,"86",-1.00,12369.5,26.357036,62.615682
"1125",Pyhajarvi,Finland,Europe,MODIS,"1","0",245.34,312.71,5.63,4641.11,0.00,"3",18.9,10.102,5317.4,"62",2.74,1204.0,29.899706,62.021181
"1132",Suonne,Finland,Europe,Other,"1","0",282.69,768.92,12.90,5788.63,0.00,"3",20.5,9.276,7222.7,"76",2.84,1291.6,26.552083,61.721546
"1133",Puulavesi,Finland,Europe,Other,"1","0",393.09,1217.56,17.32,11389.57,0.00,"3",29.0,19.769,6668.2,"76",3.56,2574.6,26.689583,61.673706
"1138",Visohisarvi,Finland,Europe,Other,"1","0",168.62,462.84,10.05,5270.60,0.00,"3",31.3,41.045,1486.2,"57",4.63,5170.4,26.696477,61.430330
"11939",,Finland,Europe,ECRINS,"1","0",62.59,193.75,6.91,650.56,0.00,"3",10.4,17.201,437.7,"172",2.51,1649.6,28.972151,64.850271
"11961",,Finland,Europe,ECRINS,"1","0",17.85,46.34,3.09,212.42,0.00,"3",11.9,61.728,39.8,"138",3.68,5686.5,28.494255,64.685209
"11962",,Finland,Europe,ECRINS,"1","0",20.63,45.75,2.84,315.51,0.00,"3",15.3,0.335,10900.7,"119",4.44,34.6,27.044792,64.675134
"11974",,Finland,Europe,ECRINS,"1","0",11.14,23.33,1.97,60.97,0.00,"3",5.5,1.343,525.4,"153",2.07,131.2,27.551042,64.520169
"11979",,Finland,Europe,ECRINS,"1","0",11.83,47.86,3.93,144.40,0.00,"3",12.2,5.425,308.1,"134",4.11,453.0,28.360417,64.493692
"11981",,Finland,Europe,ECRINS,"1","0",26.79,107.56,5.86,383.16,0.00,"3",14.3,97.670,45.4,"115",3.96,8862.3,27.890833,64.482989
"11989",,Finland,Europe,ECRINS,"1","0",26.15,67.78,3.74,171.29,0.00,"3",6.6,2.766,716.8,"121",2.02,270.0,27.461458,64.403753
"11990",,Finland,Europe,ECRINS,"1","0",23.55,53.19,3.09,194.33,0.00,"3",8.3,2.270,990.9,"177",2.53,202.2,29.859392,64.398961
"11994",,Finland,Europe,ECRINS,"1","0",18.32,74.29,4.90,101.83,0.00,"3",5.6,3.048,386.7,"167",1.89,271.1,29.827082,64.364791
"11996",,Finland,Europe,ECRINS,"1","0",11.01,44.39,3.77,96.16,0.00,"3",8.7,1.657,671.6,"174",3.12,135.0,29.147917,64.357078
"12018",,Finland,Europe,ECRINS,"1","0",22.26,75.10,4.49,306.14,0.00,"3",13.8,4.422,801.3,"160",3.98,358.0,29.058602,64.231845
"12019",,Finland,Europe,Other,"1","0",94.45,134.65,3.91,1166.34,0.00,"3",12.3,95.959,140.7,"117",2.67,8152.4,27.785417,64.215635
"12023",,Finland,Europe,ECRINS,"1","0",81.77,200.93,6.27,840.13,0.00,"3",10.3,23.153,420.0,"159",2.35,2067.4,29.569026,64.206831
"12034",,Finland,Europe,Other,"1","0",53.97,121.68,4.67,545.25,0.00,"3",10.1,88.043,71.7,"111",2.53,7461.9,28.303622,64.153500
"12036",,Finland,Europe,ECRINS,"1","0",43.59,146.60,6.26,316.14,0.00,"3",7.3,30.221,121.1,"156",1.98,2643.3,29.469221,64.137352
"12047",,Finland,Europe,ECRINS,"1","0",21.79,42.92,2.59,420.10,0.00,"3",19.3,2.902,1675.5,"134",5.37,250.1,28.164625,64.096760
"12049",,Finland,Europe,Other,"1","0",42.11,126.53,5.50,403.61,0.00,"3",9.6,68.142,68.6,"121",2.54,5787.4,28.641260,64.085845
"12065",,Finland,Europe,ECRINS,"1","0",11.00,43.68,3.71,49.53,0.00,"3",4.5,0.903,634.9,"184",1.75,74.9,29.030051,63.966994
"12079",,Finland,Europe,ECRINS,"1","0",14.57,52.58,3.89,62.95,0.00,"3",4.3,0.960,759.0,"193",1.59,84.7,29.836508,63.853943
"12084",,Finland,Europe,ECRINS,"1","0",34.39,59.72,2.87,751.59,0.00,"3",21.9,2.845,3057.7,"133",5.43,251.2,27.915465,63.828962
"12087",,Finland,Europe,ECRINS,"1","0",12.47,24.52,1.96,86.09,0.00,"3",6.9,2.178,457.5,"109",2.48,246.0,26.443625,63.816473
"12095",,Finland,Europe,ECRINS,"1","0",19.70,68.99,4.38,191.63,0.00,"3",9.7,8.916,248.8,"129",3.03,782.1,27.789632,63.757443
"12124",,Finland,Europe,ECRINS,"1","0",10.76,22.87,1.97,68.99,0.00,"3",6.4,0.567,1408.3,"155",2.40,47.4,29.523958,63.625282
"12131",,Finland,Europe,ECRINS,"1","0",14.36,49.71,3.70,104.93,0.00,"3",7.3,12.531,96.9,"78",2.53,1441.5,26.792250,63.591850
"12144",,Finland,Europe,ECRINS,"1","0",14.17,53.27,3.99,108.53,0.00,"3",7.7,12.648,99.3,"98",2.64,1112.4,27.913542,63.523976
"12166",,Finland,Europe,ECRINS,"1","0",18.64,51.30,3.35,344.79,0.00,"3",18.5,6.367,626.8,"95",5.35,554.1,28.361070,63.374289
"12168",,Finland,Europe,ECRINS,"1","0",24.57,48.26,2.75,149.13,0.00,"3",6.1,7.463,231.3,"89",1.92,632.5,29.763542,63.365680
"12173",,Finland,Europe,ECRINS,"1","0",16.30,40.10,2.80,146.37,0.00,"3",9.0,0.520,3257.8,"108",2.94,56.1,26.966497,63.333182
"12186",,Finland,Europe,Other,"1","0",88.62,238.66,7.15,1687.52,0.00,"3",19.0,25.985,751.6,"84",3.94,2319.0,28.200807,63.203128
"12191",,Finland,Europe,ECRINS,"1","0",11.37,45.38,3.80,119.56,0.00,"3",10.5,18.756,73.8,"91",3.64,1576.9,28.383686,63.191406
"12200",,Finland,Europe,Other,"1","0",60.39,174.28,6.33,589.09,0.00,"3",9.8,27.318,249.6,"85",2.39,2437.4,28.316801,63.074602
