X	Y	Pb
5125.19	5393	10
5125.19	5393	11
5131.48	5388.23	16
5131.76	5389.87	14
5131.89	5389.95	9
5101.69	5393.27	39
5096.06	5391.55	16
5096.53	5390.82	12
5096.64	5390.55	21
5082.18	5402.13	19
5079.72	5405.13	23
5079.57	5404.68	31
5079.57	5404.68	30
5126.4	5417.36	16
5126.4	5417.36	17
5137.45	5427.63	19
5139.1	5429.39	6
5139.06	5429.29	4
5100.45	5417.57	17
5110.82	5422.16	25
5111.69	5423.72	33
5111.82	5423.95	28
5075.48	5417.67	33
5084.83	5407.36	15
5084.18	5407.6	26
5084.19	5408.14	90
5051.32	5416.1	20
5050.72	5427.02	22
5050.72	5427.02	11
5051	5426.27	18
5051	5426.27	18
5051	5426.27	23
5051.19	5426.81	24
5051.19	5426.81	19
5126.08	5442.6	14
5115.57	5437.22	21
5117.07	5435.9	30
5117.16	5435.83	34
5106.075	5442.4	37
5105.41	5437.17	35
5108.2	5435.56	28
5107.98	5436.05	16
5076.088	5440.85	13
5080.3	5452.71	6
5079.5	5453.49	15
5079.5	5453.49	10
5079.53	5453.14	14
5060.69	5442.8	38
5062.8	5440.32	34
5062.56	5440.15	30
5125.37	5467.59	26
5129.54	5477.48	8
5131.68	5478.88	17
5131.94	5479.18	23
5100.613	5472.475	29
5100.613	5472.475	24
5105.9	5472.938	21
5107.18	5474.6	27
5107.13	5474.49	26
5107.13	5474.49	19
5076.35	5462.775	30
5067.97	5472.54	31
5066.63	5475.33	18
5066.74	5474.74	14
5151.41	5493.77	22
5155.6	5503.75	27
5155.6	5503.75	22
5153.89	5499.64	56
5153.42	5499.72	62
5125.96	5491.92	24
5136.11	5483.22	16
5136.11	5483.22	15
5136.26	5485.46	15
5136.29	5485.38	16
5100.68	5492.68	28
5100.68	5492.68	34
5100.49	5486.89	971
5101.94	5489.33	87
5102.18	5489.47	97
5102.18	5489.47	91
5151.28	5517.52	36
5155.23	5527.38	27
5157.11	5528.58	22
5157.18	5528.43	24
5125.87	5517.05	19
5125.76	5521.35	23
5124.34	5522.05	37
5124.47	5522.34	49
5100.72	5517.72	28
5090.34	5516.98	20
5093.58	5516.83	25
5093.33	5516.9	25
5076.3	5517.58	19
5075.96	5526.48	10
5074.94	5527.37	20
5075	5527.62	54
5049.44	5515.95	40
5049.44	5515.95	39
5041.64	5512.91	24
5042.95	5514.56	15
5042.92	5514.83	28
5149.84	5543.47	23
5155.72	5547.25	36
5155.72	5547.25	36
5154.83	5547.64	61
5154.66	5547.58	24
5125.9	5542.38	16
5125.9	5542.38	15
5130.84	5538.15	18
5132.98	5537.83	23
5133.01	5538.16	19
5100	5542.67	14
5105.14	5532.85	21
5105.6	5531.64	22
5105.18	5531.82	21
5150.84	5568.94	13
5150.84	5568.94	14
5160.5	5572.35	21
5160.5	5572.35	16
5162.21	5571.83	14
5162.1	5571.85	14
5175.29	5592.6	21
5187.54	5592.53	36
5188.25	5592.36	24
5188.2	5592.57	20
5151.08	5592.61	10
5153.71	5585.12	24
5153.92	5583.88	14
5153.88	5583.55	20
