Mw,Longitude,Latitude,Depth_km,Year,Month,Day,Hour,Minute,Second,Sigma_m,Mwe
6,-118,34,0,1769,7,28,0,0,0,0,6
5.5,-122,37.2,0,1781,10,9,0,0,0,0,5.5
5.5,-121.57,36.87,0,1800,10,11,0,0,0,0,5.5
6.3,-117.8,32.9,0,1800,11,22,21,30,0,0,6.3
5.5,-118.1,34.2,0,1803,4,1,0,0,0,0,5.5
5.5,-117.1,32.8,0,1803,5,25,0,0,0,0,5.5
5.5,-119.7,34.4,0,1806,3,25,8,0,0,0,5.5
5.5,-122.6,37.8,0,1808,6,21,0,0,0,0,5.5
7.5,-117.65,34.37,0,1812,12,8,15,0,0,0,7.5
7.1,-119.8,34.2,0,1812,12,21,19,0,0,0,7.1
6.3,-119.85,34.55,0,1821,1,1,0,0,0,0,6.3
5.5,-122.3,37.1,0,1825,9,1,0,0,0,0,5.5
5.5,-122.5,37.75,0,1827,4,3,0,0,0,0,5.5
6,-119,34,0,1827,9,24,4,0,0,0,6
6,-120.65,35.35,0,1830,1,1,0,0,0,0,6
6.4,-121.5,36.9,0,1836,6,10,15,30,0,0,6.4
7.4,-122.15,37.3,0,1838,6,1,0,0,0,0,7.4
7.3,-119.5,39.5,0,1852,1,1,0,0,0,0.4,7.3
6.5,-115,32.5,0,1852,11,29,20,0,0,0.5,6.5
5.5,-121.1,35.7,0,1853,2,1,0,0,0,0.33,5.5
6.3,-120.8,36.25,0,1853,9,2,0,0,0,0.33,6.3
5.5,-124.2,40.8,0,1853,10,23,11,0,0,0.33,5.5
6,-119.7,34.45,0,1854,5,31,12,50,0,0.33,6
6,-120.3,39.5,0,1855,1,25,6,0,0,0.33,6
4.79,-107,34,0,1855,4,20,5,0,0,0,4.79
6,-118.1,34.1,0,1855,7,11,4,15,0,0.33,6
5.5,-122.5,38.1,0,1855,8,27,11,0,0,0.4,5.5
5.9,-122.3,37.5,0,1856,2,15,13,25,0,0.25,5.9
5.5,-116.7,33.1,0,1856,9,21,7,30,0,0.33,5.5
7.9,-120.8,36.2,0,1857,1,9,16,24,0,0.15,7.9
5.6,-118.71,34.76,0,1857,1,10,6,40,0,0.33,5.6
6.3,-118.04,34.52,0,1857,1,16,0,0,0,0.33,6.3
6.3,-120,39.3,0,1857,9,3,3,5,0,0.33,6.3
6.2,-121.8,37.5,0,1858,11,26,8,35,0,0.25,6.2
6,-117.4,34.2,0,1858,12,16,10,0,0,0.33,6
6.5,-119.5,39.5,0,1860,3,15,19,0,0,0.33,6.5
6,-120.95,36.35,0,1860,4,17,3,30,0,0.33,6
5.5,-124.2,40.8,0,1860,11,13,0,0,0,0.33,5.5
5.8,-121.95,37.75,0,1861,7,4,0,11,0,0.25,5.8
6.2,-117.15,32.55,0,1862,5,27,20,0,0,0.33,6.2
4.8,-122.2,37.5,0,1863,12,19,22,38,0,0.35,4.8
6.1,-121.6,37.2,0,1864,2,26,13,47,0,0.25,6.1
4.5,-121,39.3,0,1864,8,18,13,18,0,0.33,4.5
4.7,-122.6,38.4,0,1865,3,8,14,30,0,0.33,4.7
5.5,-124.2,40.8,0,1865,10,1,17,15,0,0.33,5.5
6.5,-121.9,37.2,0,1865,10,8,20,46,0,0.15,6.5
6,-121.5,37.7,0,1866,7,15,6,30,0,0.25,6
4,-120.9,39.6,0,1867,12,2,8,20,0,0.33,4
6,-119.7,39.3,0,1868,5,30,5,10,0,0.33,6
5.6,-119.7,38.6,0,1868,9,17,16,55,0,0.33,5.6
7,-122.1,37.7,0,1868,10,21,15,53,0,0.2,7
5.28,-107,34,0,1869,4,18,13,0,0,0,5.28
5,-112,46.6,0,1869,5,22,0,0,0,0,5
5.6,-123.1,39.1,0,1869,10,8,9,30,0,0.33,5.6
4.8,-120.6,39.5,0,1869,12,21,4,0,0,0.33,4.8
6.4,-119.7,39.4,0,1869,12,27,1,55,0,0.33,6.4
6.3,-124.2,40.4,0,1871,3,2,21,5,0,0.2,6.3
5.5,-117.5,40,0,1872,3,23,21,41,0,0,5.5
7.6,-118.1,36.7,0,1872,3,26,10,30,0,0.1,7.6
4.9,-120.4,39.5,0,1872,3,28,13,0,0,0.33,4.9
6.8,-118.5,37.5,0,1872,4,11,19,0,0,0.33,6.8
5.8,-115,33,0,1872,5,3,1,0,0,0.33,5.8
6,-117,39,0,1872,11,12,0,0,0,0,6
5,-112.5,46.4,0,1872,12,10,23,30,0,0,5
7,-120.3,47.9,0,1872,12,15,5,40,0,0,7
5.5,-118,40,0,1873,11,5,17,0,0,0,5.5
6.9,-124.2,42,0,1873,11,23,5,0,0,0.33,6.9
4.3,-118.3,40.3,0,1874,11,29,0,0,0,0.333,4.3
6.2,-120.5,40.2,0,1875,1,24,12,0,0,0.33,6.2
4.79,-115.8,39.5,0,1875,4,2,2,0,0,0,4.79
5.9,-124,40.7,0,1875,9,30,12,30,0,0.33,5.9
6.2,-115.5,32.5,0,1875,11,15,22,30,0,0.33,6.2
3.68,-111.6,39.5,0,1876,3,22,0,0,0,0,3.68
4.2,-122.9,38.4,0,1876,5,29,18,55,0,0.33,4.2
5.5,-120.3,35.7,0,1877,5,30,10,30,0,0.33,5.5
5.5,-120,39,0,1877,7,10,7,10,0,0.33,5.5
6.3,-122.5,45.5,1,1877,10,12,17,0,0,0,6.3
7,-125.2,40.4,0,1878,5,9,4,25,0,0.2,7
4.79,-114.6,32.7,0,1878,12,17,23,30,0,0,4.79
5.9,-118.4,34.7,0,1880,4,12,4,30,0,0.33,5.9
5,-112.3,42,0,1880,7,11,22,0,0,0,5
4.79,-123,48,0,1880,8,22,21,25,0,0,4.79
4.3,-122.5,47.5,0,1880,12,13,4,40,0,0,4.3
5.9,-117,34,0,1880,12,19,23,35,0,0.33,5.9
5.6,-122,40,0,1881,1,7,2,25,0,0.33,5.6
6,-120.55,36.05,0,1881,2,2,0,11,0,0.33,6
5.5,-122.55,36.05,0,1881,2,2,5,0,0,0.33,5.5
4,-114.2,37.6,0,1881,3,26,3,0,0,0.333,4
6.3,-121.3,37.3,0,1881,4,10,10,0,0,0.2,6.3
4.79,-123,47,0,1882,5,1,6,50,0,0,4.79
6,-121.5,36.8,0,1883,3,30,15,45,0,0.25,6
5.8,-119.3,34.9,0,1883,9,5,12,30,0,0.33,5.8
6.1,-123.6,41.1,0,1884,1,28,7,30,0,0.6,6.1
5.9,-122.25,37,0,1884,3,26,0,40,0,0.25,5.9
4.2,-122.3,40.3,0,1884,6,6,9,0,0,0.33,4.2
5,-111.2,41.5,0,1884,11,9,2,0,0,0,5
6.3,-111.267,42,0,1884,11,10,8,50,0,0,6.3
6.1,-120.6,40.4,0,1885,1,31,5,45,0,0.33,6.1
5.5,-119.5,35,0,1885,4,7,10,30,0,0.33,5.5
6.5,-120.8,36.2,0,1885,4,12,4,5,0,0.33,6.5
5.8,-117.9,33,0,1885,9,13,12,34,0,0.33,5.8
4.9,-117.7,37.2,0,1886,4,14,3,20,0,0.4,4.9
7.37,-109.25,30.8,0,1887,5,3,9,0,0,0.333,7.17
6.5,-119.8,39.2,0,1887,6,3,10,48,0,0.33,6.5
4.79,-112.5,37.1,0,1887,12,5,15,30,0,0,4.79
5.5,-123.6,39.2,0,1888,2,18,10,50,0,0.33,5.5
4.2,-122.7,38.3,0,1888,2,29,22,50,0,0.33,4.2
4.6,-120.5,41.5,0,1888,4,14,3,30,0,0.33,4.6
6.2,-120.7,39.7,0,1888,4,29,4,48,0,0.33,6.2
4.79,-114.6,32.7,0,1888,8,19,11,0,0,0,4.79
4.5,-121.8,37.1,0,1888,9,17,11,51,0,0.33,4.5
4.3,-122.3,37.9,0,1888,11,18,22,28,0,0.33,4.3
5.6,-116.7,34.1,0,1889,2,7,5,20,0,0.33,5.6
5.5,-121.4,36.95,0,1889,4,15,3,28,0,0.35,5.5
6,-121.8,38.1,0,1889,5,19,11,10,0,0.15,6
6.2,-120.7,40.5,0,1889,6,20,6,0,0,0.33,6.2
5.6,-117.9,34.2,0,1889,8,28,2,15,0,0.33,5.6
6,-118.7,37.2,0,1889,9,30,5,20,0,0.33,6
6.8,-116.3,33.4,0,1890,2,9,12,6,0,0.33,6.8
6.3,-121.6,36.9,0,1890,4,24,11,36,0,0.15,6.3
4.79,-114.6,32.7,0,1890,6,11,1,54,0,0,4.79
6.3,-124.2,40.5,0,1890,7,26,9,40,0,0.25,6.3
5,-121.5,47.5,0,1891,3,8,3,40,0,0,5
3.68,-113.6,37.1,0,1891,4,20,13,55,0,0,3.68
6,-115,32,0,1891,7,30,14,10,0,0.33,6
4.24,-123.5,48,0,1891,11,29,23,21,0,0,4.24
4.79,-111.6,35.2,0,1892,2,2,8,30,0,0,4.79
5,-122.7,45.5,0,1892,2,4,4,30,0,0,5
7.3,-115.65,32.55,0,1892,2,24,7,20,0,0.2,7.3
4.79,-123,47,0,1892,4,17,22,50,0,0,4.79
6.6,-122,38.4,0,1892,4,19,10,50,0,0.2,6.6
5.5,-117.5,34.2,0,1892,6,14,13,25,0,0.33,5.5
5.9,-121.4,36.75,0,1892,11,13,12,45,0,0.2,5.9
5.3,-119,46,0,1893,3,6,17,3,0,0,5.3
5.8,-118.6,34.3,0,1893,4,4,19,40,0,0.33,5.8
4.79,-106.8,34.5,0,1893,4,8,3,20,0,0,4.79
5.8,-119.4,34.1,0,1893,5,19,0,35,0,0.33,5.8
5.28,-106.8,34.5,0,1893,9,7,0,0,0,0,5.28
4.79,-112,41.2,0,1894,7,18,22,50,0,0,4.79
6.2,-117.6,34.3,0,1894,7,30,5,12,0,0.33,6.2
6.5,-124.5,40.3,0,1894,9,30,17,36,0,0.33,6.5
6.1,-116.8,32.8,0,1894,10,23,23,3,0,0.33,6.1
5.5,-119.5,39.2,0,1894,11,18,10,49,0,0.4,5.5
5,-112.5,46,0,1895,9,6,19,20,0,0,5
4.3,-122.8,48.5,0,1896,1,4,6,15,0,0,4.3
4.9,-119.8,39.1,0,1896,1,27,21,1,0,0.4,4.9
5,-123.2,45.2,0,1896,4,2,11,17,0,0,5
6.3,-118.3,36.7,0,1896,8,17,11,30,0,0.33,6.3
4.79,-107,34,0,1897,1,1,0,0,0,0,4.79
4.3,-119.7,39.3,0,1897,5,15,19,4,0,0.4,4.3
5,-112,46.6,0,1897,6,5,12,22,0,0,5
6.3,-121.5,37,0,1897,6,20,20,14,0,0.15,6.3
6.4,-112.6,45.3,0,1897,11,4,9,29,0,0,6.4
6.4,-122.5,38.2,0,1898,3,31,7,43,0,0.15,6.4
6.7,-123.8,39.2,0,1898,4,15,7,7,0,0.2,6.7
7,-126,41,0,1899,4,16,13,40,0,0,7
6,-121.6,36.85,0,1899,4,30,22,41,0,0.2,6
6.4,-117.5,34.3,0,1899,7,22,20,32,0,0.15,6.4
6.7,-117,33.8,0,1899,12,25,12,25,0,0.2,6.7
5.28,-112.1,40,0,1900,8,1,7,45,0,0,5.28
6.4,-120.5,36,0,1901,3,3,7,45,0,0.33,6.4
5,-115.7,40.8,0,1901,7,26,22,20,0,0,5
5.94,-112.1,38.7,0,1901,11,14,4,32,0,0,5.94
6.8,-120,35,0,1902,3,22,22,12,0,0.333,6.6
5.5,-122,38.3,0,1902,5,19,18,31,0,0.33,5.5
4.5,-117.1,33.7,0,1902,6,11,2,45,0,0.33,4.5
