ID	group	Sc	Ti	V	Cr	Mn	Co	Ni	Rb	Sr	Y	Zr	Nb	Ba	La	Ce	Pr	Nd	Sm	Eu	Gd	Tb	Dy	Ho	Er	Yb	Lu	Hf	Ta	Pb	Th	U
w4a	basaltic	41.7	4412	165	4348	2124	66.1	118	2.35	53	48.2	209	13.7	141	13.6	35.2	4.65	21.7	6.12	0.66	7.61	1.24	8.75	1.91	5.55	5.09	0.75	4.74	0.62	0.88	2.36	0.55
bl9a	basaltic	45.3	23973	84	1794	1856	32.2	41	0.27	199	142	634	39.2	464	39.7	101	13.9	66.1	19.1	2.41	22.8	3.88	26.1	5.52	15.8	13.9	2.02	14.5	1.83	0.33	6.39	0.73
bl10a	basaltic	44	19399	83	1852	1868	35.8	53	0.11	153	137	615	40.7	439	39.1	98.3	13.4	63.1	18	1.85	21.4	3.62	25.3	5.3	15.3	14.1	2.01	14	1.84	0.27	7.35	0.88
b19a	basaltic	39.2	14765	75	2027	1625	35.5	103	3.62	192	127	754	39	566	37.9	95.7	12.9	59.3	17.2	2.1	20.1	3.36	23.8	4.86	14	13	1.87	16.7	1.78	2.06	6.31	1.46
b20a	basaltic	52.1	13981	74	2456	1859	30.8	81	3.95	111	112	478	33.7	306	31.4	82.9	11	51.1	14.9	1.44	17.9	2.92	20.5	4.31	12.7	11.7	1.68	10.8	1.57	2.25	5.44	1.35
b32a	basaltic	46.3	20833	76	1539	1767	37.8	92	0.22	157	149	709	43.9	491	43.6	109	15.1	70.7	20.2	1.86	23.8	4.04	27.7	5.66	16.5	15.2	2.18	15.9	2.05	0.25	8.11	0.93
g13a	basaltic	38.1	5775	151	3800	2164	81.8	132	0.92	51.4	31.6	135	7.39	78.8	8.5	21.9	3	14.3	4.27	0.56	5.01	0.85	5.82	1.24	3.51	3.1	0.46	3.1	0.37	0.4	1.17	0.28
g39a	basaltic	40.3	8018	107	2419	1818	55.6	107	0.09	92.8	88.1	403	26.8	284	26	65.5	9.04	41.8	11.9	1.11	13.7	2.31	16.2	3.4	10	9.3	1.29	9.05	1.21	0.05	4.84	0.61
r9a	basaltic	36.9	15902	83	2366	1484	125	736	1.01	147	168	771	54.3	628	50	127	16.9	77.4	22.2	1.93	25.8	4.34	30.7	6.51	18.6	17.3	2.42	17.1	2.39	0.13	9.92	2.1
r2a	basaltic	45.7	21543	84	2150	1768	33.9	63	1.46	185	106	417	25.7	283	27	70.8	9.78	46.8	13.7	1.96	17.4	2.9	19.9	4.1	11.9	10.7	1.58	10.1	1.26	0.13	4.33	0.96
